id,Organisations,Locations
646666,"['app', 'fintech', 'Reliance', 'Facebook', 'Fliggy', 'Jio', 'Alipay', 'WhatsApp', 'Giants', 'Alibaba', 'netizens']","['Analysys', 'Asia', 'Alipay', 'Taobao', 'Alibaba', 'Indonesia', 'China']"
646642,"['Facebook', 'digital', 'RIL', 'WhatsApp', 'Vista']","['US', 'India']"
646600,"['Didi', 'CNBC']","['US', 'Wuhan', 'Beijing', 'Hubei', 'China']"
646580,"['Oyo', 'RedDoorz', 'SoftBank']","['Asia', 'Singapore', 'Indonesia']"
646571,"['Vechnology', 'app', 'Ento', 'Samsung', 'PriyoShop', 'ManyOption']","['Bangladesh', 'Singapore', 'Asia', 'Japan', 'India', 'Texas', 'Vietnam', 'Jakarta']"
646491,"['app', 'Stoqo', 'Andrison', 'GMV', 'CTO']","['Asia', 'chili', 'Jakarta']"
646534,"['fintech', 'Nium', 'Visa', 'Instarem']","['US', 'Singapore', 'Send', 'Canada', 'UK', 'Europe', 'India', 'Nium', 'Malaysia', 'Japan', 'Australia', 'Indonesia']"
646264,[],[]
646506,"['Careem', 'Uber']","['US', 'Careem', 'Egypt', 'Asia', 'Honduras', 'Romania', 'UAE', 'Uruguay', 'India', 'Ukraine']"
646489,"['Xiaomi', 'Counterpoint', 'WhatsApp']","['India', 'China']"
646457,"['ROI', 'app', 'Hustlr', 'NBA', 'Facebook', 'TikTok', 'digital', 'WhatsApp', 'Google', 'Bytedance', 'Nike']","['US', 'Singapore', 'Asia', 'Shenzhen', 'Malaysia', 'Philippines', 'Indonesia', 'China']"
646422,"['app', 'IDX']","['US', 'Indonesia', 'Cashlez']"
646385,"['RWDC', 'PHA']","['Georgia', 'US', 'Athens']"
646427,"['Surge', 'Classplus', 'Strive']","['India', 'Rustagi']"
646401,"['FMCG', 'GudangAda']","['Semarang', 'Lampung', 'Bandung', 'Indonesia', 'Jakarta']"
646368,['AI'],"['India', 'Indonesia', 'AI']"
646075,"['ASEAN', 'Java']","['Asia', 'Pacific', 'Indonesia']"
646366,"['Reuters', 'WeWork', 'SoftBank']",[]
646354,[],['Asia']
646348,"['Facebook', 'Cheers', 'fintech', 'Reliance']","['Singapore', 'Asia', 'Oriente', 'Zilingo', 'India', 'China']"
646238,"['app', 'Reliance', 'Facebook', 'RIL', 'WhatsApp']","['Twitter', 'US', 'Airbnb', 'Skype']"
646217,['AsiaKredit'],"['Singapore', 'Asia', 'Malaysia', 'Philippines', 'Vietnam', 'Thailand', 'Indonesia', 'Aegon']"
646190,"['easier', 'Facebook', 'Tokopedia', 'Payfazz', 'WhatsApp', 'Twitter', 'AOV', 'Shopee', 'Google', 'Super', 'Digital', 'FMCG']","['Mecca', 'Tokopedia', 'Chilibeli', 'Instagram', 'India', 'Indonesia', 'Webuy', 'Super', 'China', 'Jakarta']"
646224,"['fintech', 'Beyond', 'UnionBank', 'KBIJ', 'OneConnect', 'SEA', 'Tan', 'UBX', 'Digital']","['Singapore', 'Asia', 'Kapronasia', 'Shenzhen', 'India', 'Philippines', 'Malaysia', 'Hindi', 'Thailand', 'Indonesia', 'China']"
646152,[],['Asia']
646158,"['Facebook', 'VC', 'JNE']","['US', 'Singapore', 'Zamrud', 'Malaysia', 'Brunei', 'Indonesia']"
504440,[],['Asia']
646160,['Skype'],"['Singapore', 'Shanghai', 'Asia', 'Finmas', 'Oriente', 'Vietnam', 'Finizi', 'Manila', 'Changsha', 'Philippines', 'Malaysia', 'Tech', 'Taipei', 'Indonesia', 'China', 'Jakarta']"
646136,"['TechCrunch', 'GHN', 'Scommerce']","['Lazada', 'Vietnam', 'Singapore']"
